,0
g_{0},-5.507146487918
g_{1},-4.410713324515
g_{2},-5.068037836812
g_{3},0.0
g_{4},-10.317252882957
g_{5},-8.0624493648
"p_{0,0}",-9.95672288103
"p_{0,1}",-10.610090631919
"p_{0,2}",-15.503340498033
"p_{0,3}",-15.506177720209
"p_{0,4}",-16.158976855148
"p_{0,5}",-20.579880414117
"p_{0,6}",-20.587442585485
"p_{0,7}",-20.576043496592
"p_{0,8}",-15.027539819052
"p_{0,9}",-14.371879757698
"p_{0,10}",-21.240646882865
"p_{0,11}",-10.625184504682
"p_{0,12}",-20.589493697732
"p_{0,13}",-21.247074814737
"p_{0,14}",-21.708720492304
"p_{0,15}",-26.782707775084
"p_{0,16}",-16.101419923425
"p_{0,17}",-26.792635944524
"p_{0,18}",-26.788428640146
"p_{0,19}",-26.784223892239
"p_{0,20}",-26.732286519077
"p_{0,21}",-26.785942834293
"p_{0,22}",-25.651539900631
"p_{0,23}",-31.803911022672
"p_{0,24}",-31.870405858943
"p_{0,25}",-31.800366593373
"p_{0,26}",-16.170113097406
"p_{0,27}",-16.816487328176
"p_{0,28}",-16.82805510684
